yaml_file,MAP,NDCG,Precision,Recall,Train Time,embed_size,n_layers,batch_size,decay,epochs,learning_rate,eval_epoch,top_k
64_5_2048_0_01_500_0_01_-1_10,0.0151572444743269,0.0436466947329805,0.0319499341238471,0.0426859332487732,295.8432258339999,64,5,2048,0.01,500,0.01,-1,10
64_5_2048_0_01_500_0_1_-1_10,0.014746672265618866,0.04250066486045501,0.0308300395256917,0.04111977695804247,296.8082070830005,64,5,2048,0.01,500,0.1,-1,10
64_5_2048_0_01_50_0_1_-1_10,0.014622884030548686,0.042381188941548346,0.030698287220026356,0.040683649173042326,29.294864583000162,64,5,2048,0.01,50,0.1,-1,10
64_5_2048_0_01_100_0_01_-1_10,0.0146126973716334,0.0429213741720261,0.0323451910408432,0.0428255269212662,58.59977562499989,64,5,2048,0.01,100,0.01,-1,10
64_5_2048_0_01_1000_0_001_-1_10,0.0145429521904568,0.0427151744239852,0.0317523056653491,0.0417618270037195,591.0314845409994,64,5,2048,0.01,1000,0.001,-1,10
64_5_2048_0_01_500_0_001_-1_10,0.0143263370484355,0.0418857618688789,0.0312252964426877,0.0406449267761474,292.9587959169994,64,5,2048,0.01,500,0.001,-1,10
64_5_2048_0_01_1000_0_1_-1_10,0.01420948444891881,0.04204688510487333,0.031488801054018446,0.04103057957143271,593.6237962499999,64,5,2048,0.01,1000,0.1,-1,10
64_5_2048_0_01_50_0_01_-1_10,0.0142066794226655,0.041931987569117,0.0310276679841897,0.0401203357751219,29.293571375000283,64,5,2048,0.01,50,0.01,-1,10
64_5_2048_0_01_1000_0_01_-1_10,0.014040290787899938,0.042234289201794534,0.03162055335968379,0.04135522976713177,592.0388282919994,64,5,2048,0.01,1000,0.01,-1,10
64_5_2048_0_01_100_0_1_-1_10,0.013779050339955476,0.04119346954764593,0.031488801054018446,0.03977090870126418,60.47412054199958,64,5,2048,0.01,100,0.1,-1,10
64_7_2048_0_01_50_0_01_-1_10,0.0126949476122939,0.0379737183051966,0.028524374176548,0.0361805742661751,38.05926416700004,64,7,2048,0.01,50,0.01,-1,10
64_7_2048_0_01_500_0_1_-1_10,0.012538285853925614,0.03708780253737239,0.027009222661396576,0.035097931049251664,392.56935758300096,64,7,2048,0.01,500,0.1,-1,10
64_7_2048_0_01_50_0_1_-1_10,0.012494919552233698,0.03773678649760046,0.028524374176548094,0.0364002487089036,38.27612112499992,64,7,2048,0.01,50,0.1,-1,10
64_7_2048_0_01_500_0_01_-1_10,0.0124023023367172,0.0368795585584592,0.0272727272727272,0.0343222686705655,387.2499847090003,64,7,2048,0.01,500,0.01,-1,10
64_7_2048_0_01_100_0_01_-1_10,0.0123723189947416,0.0373129768086901,0.0281949934123847,0.0357133171783647,77.5167115840004,64,7,2048,0.01,100,0.01,-1,10
64_7_2048_0_01_500_0_001_-1_10,0.0122743048051336,0.0367965680703944,0.0275362318840579,0.0342160200091307,387.30735741699937,64,7,2048,0.01,500,0.001,-1,10
64_7_2048_0_01_1000_0_001_-1_10,0.012173981032899421,0.036817861836001844,0.02779973649538867,0.035456354566717134,795.110252041999,64,7,2048,0.01,1000,0.001,-1,10
64_7_2048_0_01_1000_0_01_-1_10,0.012145716356114564,0.0368592909719709,0.027997364953886692,0.035488626381331496,785.6837489579993,64,7,2048,0.01,1000,0.01,-1,10
64_7_2048_0_01_100_0_1_-1_10,0.01167016236255832,0.03564348907026892,0.027338603425559948,0.033918389444701796,78.35546183299994,64,7,2048,0.01,100,0.1,-1,10
64_5_2048_0_01_100_0_001_-1_10,0.0115684934127224,0.0349764403598571,0.0265480895915678,0.0329501289043558,58.90429524999945,64,5,2048,0.01,100,0.001,-1,10
64_7_2048_0_01_100_0_001_-1_10,0.0112994175054068,0.0344483624859372,0.0261528326745718,0.0317460790370054,76.90177066699925,64,7,2048,0.01,100,0.001,-1,10
64_5_2048_0_01_50_0_001_-1_10,0.0111987239748176,0.0343555949184782,0.0261528326745718,0.0314992375755291,29.28690791699956,64,5,2048,0.01,50,0.001,-1,10
64_7_2048_0_01_50_0_001_-1_10,0.0110706888438756,0.0336524152487385,0.0255599472990777,0.0316546517102504,38.07178170799944,64,7,2048,0.01,50,0.001,-1,10
64_7_2048_0_1_50_0_001_-1_10,0.0053926872712192,0.0162142606405957,0.0120553359683794,0.0157858617152914,38.89728533400012,64,7,2048,0.1,50,0.001,-1,10
64_5_2048_0_1_1000_0_01_-1_10,0.004175152187425772,0.011484299533980197,0.007773386034255598,0.01364645541581138,599.0965905829999,64,5,2048,0.1,1000,0.01,-1,10
64_5_2048_0_1_1000_0_001_-1_10,0.004084291621582229,0.01028007846002207,0.0061923583662714075,0.010966417932821094,594.3378952919993,64,5,2048,0.1,1000,0.001,-1,10
64_5_2048_0_1_50_0_001_-1_10,0.0039094986925191,0.0108132658901464,0.0075098814229249,0.01307507270946,29.57766625000022,64,5,2048,0.1,50,0.001,-1,10
64_5_2048_0_1_100_0_001_-1_10,0.0037567810735976,0.0109494158681408,0.0079710144927536,0.0141939524089024,58.80609262500002,64,5,2048,0.1,100,0.001,-1,10
64_5_2048_0_1_1000_0_1_-1_10,0.0034787257785589194,0.009365463212624029,0.0061923583662714075,0.010280775567918092,595.7753875000017,64,5,2048,0.1,1000,0.1,-1,10
64_5_2048_0_1_100_0_01_-1_10,0.0029134597365575,0.0086076733072429,0.0061923583662714,0.0095717757864106,58.5004346249998,64,5,2048,0.1,100,0.01,-1,10
64_5_2048_0_1_500_0_001_-1_10,0.0023523506805402,0.0056254009010836,0.0037549407114624,0.0065529286135211,293.8647518750004,64,5,2048,0.1,500,0.001,-1,10
64_5_2048_0_1_100_0_1_-1_10,0.0021606379960402173,0.006724787549436216,0.004940711462450592,0.007172978694518972,59.834803375000774,64,5,2048,0.1,100,0.1,-1,10
64_5_2048_0_1_50_0_1_-1_10,0.0019945574434342074,0.006365403137622789,0.005006587615283265,0.007106022227821506,29.202477375001763,64,5,2048,0.1,50,0.1,-1,10
64_5_2048_0_1_500_0_01_-1_10,0.0019834478026324,0.0047488531044708,0.003227931488801,0.005330465585664,293.8911461260004,64,5,2048,0.1,500,0.01,-1,10
64_5_2048_0_1_500_0_1_-1_10,0.0018066982487640877,0.004910779294555384,0.0032938076416337285,0.005929273824066532,297.0115449590012,64,5,2048,0.1,500,0.1,-1,10
64_5_2048_0_1_50_0_01_-1_10,0.0016182418245489,0.0055029218313149,0.0044137022397891,0.0056444411103716,29.49987854200026,64,5,2048,0.1,50,0.01,-1,10
64_7_2048_0_1_500_0_001_-1_10,0.0014069128765565,0.0044369252820784,0.0035573122529644,0.0050999401775384,391.7840292499986,64,7,2048,0.1,500,0.001,-1,10
64_7_2048_0_1_100_0_001_-1_10,0.0012264324744148,0.003589235448405,0.0024374176548089,0.0046444839614497,78.22236974999942,64,7,2048,0.1,100,0.001,-1,10
64_7_2048_0_1_100_0_01_-1_10,0.0012074397274761,0.0037337093191269,0.0030961791831357,0.0038586038191648,78.76302770799884,64,7,2048,0.1,100,0.01,-1,10
64_7_2048_0_1_50_0_01_-1_10,0.0007773761290045,0.0037404686977753,0.0038866930171277,0.0039773347275427,38.73554045800029,64,7,2048,0.1,50,0.01,-1,10
64_7_2048_0_1_500_0_01_-1_10,0.0003362288808952,0.0019084021543598,0.0021739130434782,0.0019340273984542,390.086944875,64,7,2048,0.1,500,0.01,-1,10
